# Theta[deg]   da/a_dipole[ppm]  e(da/a_dipole)[ppm]
43.6119 7.3851 1.81584
43.6176 7.3844 1.87289
43.6818 7.3765 1.85436
43.7394 7.36942 1.79464
43.8608 7.35446 1.8531
43.9732 7.34057 1.86857
44.0143 7.3355 1.83294
44.0501 7.33107 1.86444
44.0744 7.32806 1.86792
44.1059 7.32415 1.75034
44.1534 7.31827 1.75976
44.1753 7.31555 1.86199
44.2492 7.30638 1.83114
44.3514 7.29368 1.747
44.387 7.28924 1.81119
44.463 7.27976 1.86546
44.5018 7.27493 1.74457
44.534 7.27091 1.75369
44.5561 7.26815 1.86487
44.5601 7.26765 1.84827
44.6682 7.25413 1.80598
44.6777 7.25295 1.77235
44.7018 7.24993 1.75132
44.7307 7.24631 1.84711
44.7427 7.24481 1.85086
44.7467 7.24431 1.74179
44.7499 7.24391 1.80618
44.9008 7.22497 1.84775
44.912 7.22356 1.86266
44.9821 7.21474 1.76347
44.9968 7.21289 1.86214
45.0268 7.20912 1.76631
45.0301 7.2087 1.80385
45.04 7.20746 1.78236
45.0828 7.20205 1.74684
45.1716 7.19086 1.82424
45.3191 7.1722 1.86017
45.3376 7.16987 1.75976
45.3611 7.1669 1.77938
45.3955 7.16253 1.85971
45.3958 7.16249 1.84267
45.3977 7.16225 1.82258
45.5577 7.14194 1.84161
45.5958 7.1371 1.83405
45.6837 7.12591 1.85799
45.7514 7.11728 1.85759
45.7847 7.11303 1.83032
45.8367 7.10639 1.78428
46.0049 7.08489 1.85611
46.0639 7.07733 1.85576
46.0705 7.07648 1.72921
46.0884 7.07419 1.72155
46.1333 7.06842 1.79488
46.1392 7.06767 1.77864
46.1875 7.06147 1.83756
46.2821 7.0493 1.8545
46.2845 7.049 1.81622
46.3231 7.04403 1.72122
46.3322 7.04285 1.85422
46.3404 7.0418 1.8366
46.4047 7.03352 1.79273
46.4493 7.02777 1.74169
46.4577 7.02667 1.72306
46.4856 7.02307 1.71583
46.5016 7.02102 1.8147
46.5148 7.01931 1.85318
46.5559 7.01399 1.85295
46.5963 7.00877 1.72928
46.5989 7.00843 1.81418
46.6287 7.00458 1.7679
46.7024 6.99504 1.85212
46.7158 6.99331 1.71616
46.7345 6.99088 1.85195
46.7449 6.98953 1.74534
46.8109 6.98096 1.73543
46.8166 6.98022 1.80986
46.8446 6.97659 1.85133
46.8676 6.97361 1.85121
46.9337 6.96501 1.83293
46.9411 6.96405 1.8508
46.9413 6.96402 1.76513
46.9549 6.96225 1.85072
46.9718 6.96005 1.725
46.9917 6.95746 1.85052
46.9963 6.95686 1.8505
47.0773 6.94631 1.83206
47.093 6.94427 1.74185
47.3512 6.91053 1.8089
47.3874 6.90579 1.75537
47.4716 6.89474 1.78448
47.5589 6.88329 1.80752
47.633 6.87354 1.82876
47.7085 6.86361 1.74938
47.7337 6.86029 1.78251
47.741 6.85933 1.79146
47.7672 6.85588 1.82798
47.985 6.82711 1.7866
48.0138 6.82331 1.84151
48.0168 6.82291 1.69844
48.031 6.82103 1.84115
48.0752 6.81517 1.69316
48.1686 6.8028 1.83825
48.1742 6.80206 1.75452
48.22 6.79597 1.83716
48.279 6.78814 1.71009
48.2798 6.78803 1.6963
48.2843 6.78744 1.82503
48.3701 6.77603 1.80227
48.4086 6.7709 1.82434
48.4088 6.77087 1.69229
48.4619 6.7638 1.70835
48.4697 6.76276 1.72838
48.4726 6.76238 1.68756
48.4779 6.76167 1.75197
48.4935 6.7596 1.8314
48.568 6.74966 1.80103
48.5785 6.74825 1.8296
48.651 6.73857 1.70369
48.669 6.73617 1.69144
